,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
10,279.0,220.0,207.0,201.0,216.0,274.0,312.0,364.0,328.0,364.0,337.0,292.0,333.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,116.0,142.0,128.0,152.0,137.0,161.0,185.0,245.32759,235.67241,321.0,344.0,246.0,239.0,242.0,252.0,256.0,281.0,290.0,205.0,226.0,257.0,432.0,570.0,576.0,272.0,374.0,360.0,230.0,202.0,284.0,280.0,332.0,312.0,327.10344,310.89656,384.0,418.1,300.9,296.0,283.0,320.0,303.0,329.0,312.0,295.0,296.0
11,333.0,279.0,220.0,207.0,201.0,216.0,274.0,312.0,364.0,328.0,364.0,337.0,356.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,116.0,142.0,128.0,152.0,137.0,161.0,226.0,245.32759,235.67241,321.0,344.0,246.0,239.0,242.0,252.0,256.0,281.0,290.0,360.0,312.0,257.0,432.0,570.0,576.0,272.0,374.0,360.0,230.0,202.0,284.0,280.0,278.0,296.0,327.10344,310.89656,384.0,418.1,300.9,296.0,283.0,320.0,303.0,329.0,312.0,296.0
12,356.0,333.0,279.0,220.0,207.0,201.0,216.0,274.0,312.0,364.0,328.0,364.0,396.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,116.0,142.0,128.0,152.0,-22.0,360.0,226.0,245.32759,235.67241,321.0,344.0,246.0,239.0,242.0,252.0,256.0,281.0,16.0,278.0,312.0,257.0,432.0,570.0,576.0,272.0,374.0,360.0,230.0,202.0,284.0,33.0,296.0,296.0,327.10344,310.89656,384.0,418.1,300.9,296.0,283.0,320.0,303.0,329.0,10.0
13,396.0,356.0,333.0,279.0,220.0,207.0,201.0,216.0,274.0,312.0,364.0,328.0,355.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,116.0,142.0,128.0,119.0,16.0,360.0,226.0,245.32759,235.67241,321.0,344.0,246.0,239.0,242.0,252.0,256.0,98.0,33.0,278.0,312.0,257.0,432.0,570.0,576.0,272.0,374.0,360.0,230.0,202.0,203.0,10.0,296.0,296.0,327.10344,310.89656,384.0,418.1,300.9,296.0,283.0,320.0,303.0,110.0
14,355.0,396.0,356.0,333.0,279.0,220.0,207.0,201.0,216.0,274.0,312.0,364.0,362.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,116.0,142.0,-272.0,98.0,16.0,360.0,226.0,245.32759,235.67241,321.0,344.0,246.0,239.0,242.0,252.0,-355.0,203.0,33.0,278.0,312.0,257.0,432.0,570.0,576.0,272.0,374.0,360.0,230.0,-90.0,110.0,10.0,296.0,296.0,327.10344,310.89656,384.0,418.1,300.9,296.0,283.0,320.0,-239.0
15,362.0,355.0,396.0,356.0,333.0,279.0,220.0,207.0,201.0,216.0,274.0,312.0,320.0,-272.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,116.0,-331.328,-355.0,98.0,16.0,360.0,226.0,245.32759,235.67241,321.0,344.0,246.0,239.0,242.0,-414.46,-90.0,203.0,33.0,278.0,312.0,257.0,432.0,570.0,576.0,272.0,374.0,360.0,42.988,-239.0,110.0,10.0,296.0,296.0,327.10344,310.89656,384.0,418.1,300.9,296.0,283.0,-268.952
16,320.0,362.0,355.0,396.0,356.0,333.0,279.0,220.0,207.0,201.0,216.0,274.0,275.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,118.0,-517.0,-414.46,-355.0,98.0,16.0,360.0,226.0,245.32759,235.67241,321.0,344.0,246.0,239.0,-602.0,42.988,-90.0,203.0,33.0,278.0,312.0,257.0,432.0,570.0,576.0,272.0,374.0,-240.0,-268.952,-239.0,110.0,10.0,296.0,296.0,327.10344,310.89656,384.0,418.1,300.9,296.0,-408.0
17,275.0,320.0,362.0,355.0,396.0,356.0,333.0,279.0,220.0,207.0,201.0,216.0,210.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,131.56667,-620.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,226.0,245.32759,235.67241,321.0,344.0,246.0,-674.0,-240.0,42.988,-90.0,203.0,33.0,278.0,312.0,257.0,432.0,570.0,576.0,272.0,-211.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,296.0,327.10344,310.89656,384.0,418.1,300.9,-344.0
18,210.0,275.0,320.0,362.0,355.0,396.0,356.0,333.0,279.0,220.0,207.0,201.0,217.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,175.43333,-363.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,226.0,245.32759,235.67241,321.0,344.0,-557.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,278.0,312.0,257.0,432.0,570.0,576.0,-59.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,296.0,327.10344,310.89656,384.0,418.1,73.0
19,217.0,210.0,275.0,320.0,362.0,355.0,396.0,356.0,333.0,279.0,220.0,207.0,271.0,-363.0,-620.0,-517.0,-331.328,-272.0,119.0,-22.0,161.0,185.0,220.74138,210.38765,213.87096,-401.0,-557.0,-674.0,-602.0,-414.46,-355.0,98.0,16.0,360.0,226.0,245.32759,235.67241,321.0,-506.0,-59.0,-211.0,-240.0,42.988,-90.0,203.0,33.0,278.0,312.0,257.0,432.0,570.0,-87.0,73.0,-344.0,-408.0,-268.952,-239.0,110.0,10.0,296.0,296.0,327.10344,310.89656,384.0,22.0
