,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
10,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,8.0,340.0,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,529.0,493.0,530.0,615.0,553.0,126.18919,336.72414,318.27586,346.0,294.0,279.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,219.0,319.0,114.0,145.0,149.0,109.0,62.0,10.0,17.0,21.0,11.0,24.0,15.0,25.0,73.0,85.51724,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,27.0,41.0
11,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,22.0,71.0,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,529.0,493.0,530.0,615.0,491.81081000000006,319.0,336.72414,318.27586,346.0,294.0,279.0,313.0,289.0,326.0,314.0,319.65573,310.34427000000005,370.0,73.0,114.0,145.0,149.0,109.0,62.0,10.0,17.0,21.0,11.0,24.0,15.0,88.0,41.0,85.51724,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,28.03278,43.0
12,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,8.0,52.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,529.0,493.0,530.0,409.0,370.0,319.0,336.72414,318.27586,346.0,294.0,279.0,313.0,289.0,326.0,314.0,319.65573,393.0,88.0,73.0,114.0,145.0,149.0,109.0,62.0,10.0,17.0,21.0,11.0,24.0,96.0,43.0,41.0,85.51724,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.96722,31.0
13,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,9.0,22.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,529.0,493.0,381.0,393.0,370.0,319.0,336.72414,318.27586,346.0,294.0,279.0,313.0,289.0,326.0,314.0,361.0,96.0,88.0,73.0,114.0,145.0,149.0,109.0,62.0,10.0,17.0,21.0,11.0,87.0,31.0,43.0,41.0,85.51724,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,29.0,28.0
14,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,11.0,31.0,381.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,529.0,402.0,361.0,393.0,370.0,319.0,336.72414,318.27586,346.0,294.0,279.0,313.0,289.0,326.0,344.0,87.0,96.0,88.0,73.0,114.0,145.0,149.0,109.0,62.0,10.0,17.0,21.0,98.0,28.0,31.0,43.0,41.0,85.51724,80.48276,117.0,132.0,136.0,75.0,58.0,42.0,41.0
15,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,33.0,56.0,402.0,381.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,447.0,395.0,344.0,361.0,393.0,370.0,319.0,336.72414,318.27586,346.0,294.0,279.0,313.0,289.0,337.0,98.0,87.0,96.0,88.0,73.0,114.0,145.0,149.0,109.0,62.0,10.0,17.0,83.0,41.0,28.0,31.0,43.0,41.0,85.51724,80.48276,117.0,132.0,136.0,75.0,58.0,49.0
16,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,48.0,171.0,395.0,402.0,381.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,434.0,338.0,337.0,344.0,361.0,393.0,370.0,319.0,336.72414,318.27586,346.0,294.0,279.0,313.0,373.0,83.0,98.0,87.0,96.0,88.0,73.0,114.0,145.0,149.0,109.0,62.0,10.0,99.0,49.0,41.0,28.0,31.0,43.0,41.0,85.51724,80.48276,117.0,132.0,136.0,75.0,88.0
17,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,147.0,317.0,338.0,395.0,402.0,381.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,468.0,98.0,373.0,337.0,344.0,361.0,393.0,370.0,319.0,336.72414,318.27586,346.0,294.0,279.0,326.0,99.0,83.0,98.0,87.0,96.0,88.0,73.0,114.0,145.0,149.0,109.0,62.0,137.0,88.0,49.0,41.0,28.0,31.0,43.0,41.0,85.51724,80.48276,117.0,132.0,136.0,131.0
18,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,315.0,319.0,98.0,338.0,395.0,402.0,381.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,574.0,106.0,326.0,373.0,337.0,344.0,361.0,393.0,370.0,319.0,336.72414,318.27586,346.0,294.0,319.0,137.0,99.0,83.0,98.0,87.0,96.0,88.0,73.0,114.0,145.0,149.0,109.0,197.0,131.0,88.0,49.0,41.0,28.0,31.0,43.0,41.0,85.51724,80.48276,117.0,132.0,122.0
19,319.0,317.0,171.0,56.0,31.0,22.0,52.0,71.0,340.0,323.36206000000004,301.63794,280.0,272.0,106.0,98.0,338.0,395.0,402.0,381.0,409.0,491.81081000000006,126.18919,354.36206000000004,364.63794,583.0,127.0,319.0,326.0,373.0,337.0,344.0,361.0,393.0,370.0,319.0,336.72414,318.27586,346.0,405.0,197.0,137.0,99.0,83.0,98.0,87.0,96.0,88.0,73.0,114.0,145.0,149.0,123.0,122.0,131.0,88.0,49.0,41.0,28.0,31.0,43.0,41.0,85.51724,80.48276,117.0,133.0
