,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
20,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,1055.0,728.48,650.0,781.0,489.0,376.0,377.0,372.0,380.0,420.0,468.0,387.0,510.08951,497.87724,458.0,293.0,392.0,287.0,283.0,258.0,254.0,266.0,267.0,259.0,309.0,280.0,327.0,287.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,219.0,140.0,92.0,101.0,98.0,100.0,106.0,118.0,142.0,148.0,167.0,119.0,142.0,148.0,128.0,116.0,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-638.8,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,118.0,-92.56
21,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,690.0,557.962,458.0,650.0,781.0,489.0,376.0,377.0,372.0,380.0,420.0,468.0,387.0,510.08951,396.0,287.0,293.0,392.0,287.0,283.0,258.0,254.0,266.0,267.0,259.0,309.0,280.0,238.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,219.0,56.0,116.0,101.0,98.0,100.0,106.0,118.0,142.0,148.0,167.0,119.0,142.0,148.0,134.0,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-529.284,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,-6.495760000000004,30.672880000000006
22,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,811.0,838.9079999999999,396.0,458.0,650.0,781.0,489.0,376.0,377.0,372.0,380.0,420.0,468.0,387.0,542.0,238.0,287.0,293.0,392.0,287.0,283.0,258.0,254.0,266.0,267.0,259.0,309.0,261.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,202.0,41.0,134.0,116.0,101.0,98.0,100.0,106.0,118.0,142.0,148.0,167.0,119.0,142.0,136.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-317.0,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,127.364,181.028
23,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,984.0,550.156,542.0,396.0,458.0,650.0,781.0,489.0,376.0,377.0,372.0,380.0,420.0,468.0,591.0,261.0,238.0,287.0,293.0,392.0,287.0,283.0,258.0,254.0,266.0,267.0,259.0,267.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,153.0,25.0,136.0,134.0,116.0,101.0,98.0,100.0,106.0,118.0,142.0,148.0,167.0,119.0,149.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-304.0,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,251.64,331.24
24,550.156,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,1040.0,-37.36,591.0,542.0,396.0,458.0,650.0,781.0,489.0,376.0,377.0,372.0,380.0,420.0,470.0,267.0,261.0,238.0,287.0,293.0,392.0,287.0,283.0,258.0,254.0,266.0,267.0,245.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,91.0,15.0,149.0,136.0,134.0,116.0,101.0,98.0,100.0,106.0,118.0,142.0,148.0,167.0,163.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-308.0,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,90.348,140.392
25,-37.36,550.156,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,861.0,76.68799999999999,470.0,591.0,542.0,396.0,458.0,650.0,781.0,489.0,376.0,377.0,372.0,380.0,410.0,245.0,267.0,261.0,238.0,287.0,293.0,392.0,287.0,283.0,258.0,254.0,266.0,212.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,120.0,12.0,163.0,149.0,136.0,134.0,116.0,101.0,98.0,100.0,106.0,118.0,142.0,148.0,152.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-345.0,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-27.276,58.624
26,76.68799999999999,-37.36,550.156,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,438.0,-263.984,410.0,470.0,591.0,542.0,396.0,458.0,650.0,781.0,489.0,376.0,377.0,372.0,419.0,212.0,245.0,267.0,261.0,238.0,287.0,293.0,392.0,287.0,283.0,258.0,254.0,258.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,112.0,25.0,152.0,163.0,149.0,136.0,134.0,116.0,101.0,98.0,100.0,106.0,118.0,142.0,138.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-539.0,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-135.452,-124.028
27,-263.984,76.68799999999999,-37.36,550.156,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,398.0,-122.44000000000004,419.0,410.0,470.0,591.0,542.0,396.0,458.0,650.0,781.0,489.0,376.0,377.0,376.0,258.0,212.0,245.0,267.0,261.0,238.0,287.0,293.0,392.0,287.0,283.0,258.0,264.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,67.0,71.0,138.0,152.0,163.0,149.0,136.0,134.0,116.0,101.0,98.0,100.0,106.0,118.0,135.0,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-723.496,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-28.916,-242.888
28,-122.44000000000004,-263.984,76.68799999999999,-37.36,550.156,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,-77.0,-109.76000000000002,376.0,419.0,410.0,470.0,591.0,542.0,396.0,458.0,650.0,781.0,489.0,376.0,405.0,264.0,258.0,212.0,245.0,267.0,261.0,238.0,287.0,293.0,392.0,287.0,283.0,277.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,87.0,109.0,135.0,138.0,152.0,163.0,149.0,136.0,134.0,116.0,101.0,98.0,100.0,106.0,120.0,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-750.7439999999999,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-171.144,-157.336
29,-109.76000000000002,-122.44000000000004,-263.984,76.68799999999999,-37.36,550.156,838.9079999999999,557.962,728.48,1402.0,1396.0,1442.0,515.6,405.0,376.0,419.0,410.0,470.0,591.0,542.0,396.0,458.0,650.0,781.0,489.0,486.0,277.0,264.0,258.0,212.0,245.0,267.0,261.0,238.0,287.0,293.0,392.0,287.0,299.0,109.0,71.0,25.0,12.0,15.0,25.0,41.0,56.0,92.0,117.0,129.0,103.0,110.0,120.0,135.0,138.0,152.0,163.0,149.0,136.0,134.0,116.0,101.0,98.0,100.0,95.0,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-745.08,-157.336,-242.888,-124.028,58.624,140.392,331.24,181.028,30.672880000000006,-92.56,70.288,221.68,-84.98,-126.04
