,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
44,152.0,113.0,151.0,96.0,73.0,110.0,92.0,112.0,94.0,77.0,103.0,72.0,160.0,151.0,129.0,77.0,69.0,27.0,26.0,21.0,20.0,20.0,72.0,75.0,141.0,97.0,66.0,53.0,43.0,41.0,42.0,59.0,63.0,72.0,106.0,47.0,37.0,39.0,42.0
45,160.0,152.0,113.0,151.0,96.0,73.0,110.0,92.0,112.0,94.0,77.0,103.0,88.0,97.0,151.0,129.0,77.0,69.0,27.0,26.0,21.0,20.0,20.0,72.0,75.0,61.0,42.0,66.0,53.0,43.0,41.0,42.0,59.0,63.0,72.0,106.0,47.0,37.0,59.0
46,88.0,160.0,152.0,113.0,151.0,96.0,73.0,110.0,92.0,112.0,94.0,77.0,81.0,61.0,97.0,151.0,129.0,77.0,69.0,27.0,26.0,21.0,20.0,20.0,72.0,48.0,59.0,42.0,66.0,53.0,43.0,41.0,42.0,59.0,63.0,72.0,106.0,47.0,51.0
47,81.0,88.0,160.0,152.0,113.0,151.0,96.0,73.0,110.0,92.0,112.0,94.0,131.0,48.0,61.0,97.0,151.0,129.0,77.0,69.0,27.0,26.0,21.0,20.0,20.0,91.0,51.0,59.0,42.0,66.0,53.0,43.0,41.0,42.0,59.0,63.0,72.0,106.0,69.0
48,131.0,81.0,88.0,160.0,152.0,113.0,151.0,96.0,73.0,110.0,92.0,112.0,145.0,91.0,48.0,61.0,97.0,151.0,129.0,77.0,69.0,27.0,26.0,21.0,20.0,43.0,69.0,51.0,59.0,42.0,66.0,53.0,43.0,41.0,42.0,59.0,63.0,72.0,104.0
49,145.0,131.0,81.0,88.0,160.0,152.0,113.0,151.0,96.0,73.0,110.0,92.0,134.0,43.0,91.0,48.0,61.0,97.0,151.0,129.0,77.0,69.0,27.0,26.0,21.0,39.0,104.0,69.0,51.0,59.0,42.0,66.0,53.0,43.0,41.0,42.0,59.0,63.0,96.0
50,134.0,145.0,131.0,81.0,88.0,160.0,152.0,113.0,151.0,96.0,73.0,110.0,205.0,39.0,43.0,91.0,48.0,61.0,97.0,151.0,129.0,77.0,69.0,27.0,26.0,50.0,96.0,104.0,69.0,51.0,59.0,42.0,66.0,53.0,43.0,41.0,42.0,59.0,82.0
51,205.0,134.0,145.0,131.0,81.0,88.0,160.0,152.0,113.0,151.0,96.0,73.0,135.0,50.0,39.0,43.0,91.0,48.0,61.0,97.0,151.0,129.0,77.0,69.0,27.0,115.0,82.0,96.0,104.0,69.0,51.0,59.0,42.0,66.0,53.0,43.0,41.0,42.0,51.0
52,135.0,205.0,134.0,145.0,131.0,81.0,88.0,160.0,152.0,113.0,151.0,96.0,141.0,115.0,50.0,39.0,43.0,91.0,48.0,61.0,97.0,151.0,129.0,77.0,69.0,103.0,51.0,82.0,96.0,104.0,69.0,51.0,59.0,42.0,66.0,53.0,43.0,41.0,46.0
53,141.0,135.0,205.0,134.0,145.0,131.0,81.0,88.0,160.0,152.0,113.0,151.0,183.0,103.0,115.0,50.0,39.0,43.0,91.0,48.0,61.0,97.0,151.0,129.0,77.0,144.0,46.0,51.0,82.0,96.0,104.0,69.0,51.0,59.0,42.0,66.0,53.0,43.0,49.0
54,183.0,141.0,135.0,205.0,134.0,145.0,131.0,81.0,88.0,160.0,152.0,113.0,155.0,144.0,103.0,115.0,50.0,39.0,43.0,91.0,48.0,61.0,97.0,151.0,129.0,168.0,49.0,46.0,51.0,82.0,96.0,104.0,69.0,51.0,59.0,42.0,66.0,53.0,86.0
55,155.0,183.0,141.0,135.0,205.0,134.0,145.0,131.0,81.0,88.0,160.0,152.0,140.0,168.0,144.0,103.0,115.0,50.0,39.0,43.0,91.0,48.0,61.0,97.0,151.0,125.0,86.0,49.0,46.0,51.0,82.0,96.0,104.0,69.0,51.0,59.0,42.0,66.0,72.0
56,140.0,155.0,183.0,141.0,135.0,205.0,134.0,145.0,131.0,81.0,88.0,160.0,132.0,125.0,168.0,144.0,103.0,115.0,50.0,39.0,43.0,91.0,48.0,61.0,97.0,135.0,72.0,86.0,49.0,46.0,51.0,82.0,96.0,104.0,69.0,51.0,59.0,42.0,74.0
57,132.0,140.0,155.0,183.0,141.0,135.0,205.0,134.0,145.0,131.0,81.0,88.0,160.0,135.0,125.0,168.0,144.0,103.0,115.0,50.0,39.0,43.0,91.0,48.0,61.0,102.0,74.0,72.0,86.0,49.0,46.0,51.0,82.0,96.0,104.0,69.0,51.0,59.0,58.0
58,160.0,132.0,140.0,155.0,183.0,141.0,135.0,205.0,134.0,145.0,131.0,81.0,186.0,102.0,135.0,125.0,168.0,144.0,103.0,115.0,50.0,39.0,43.0,91.0,48.0,54.0,58.0,74.0,72.0,86.0,49.0,46.0,51.0,82.0,96.0,104.0,69.0,51.0,62.0
