,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
15,195.0,294.0,366.0,327.0,234.0,234.0,322.0,469.0,454.0,326.0,225.0,209.0,180.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,297.0,304.0
16,180.0,195.0,294.0,366.0,327.0,234.0,234.0,322.0,469.0,454.0,326.0,225.0,176.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,267.55933,295.0
17,176.0,180.0,195.0,294.0,366.0,327.0,234.0,234.0,322.0,469.0,454.0,326.0,343.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,266.44067,314.0
18,343.0,176.0,180.0,195.0,294.0,366.0,327.0,234.0,234.0,322.0,469.0,454.0,529.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,292.0,297.0
19,529.0,343.0,176.0,180.0,195.0,294.0,366.0,327.0,234.0,234.0,322.0,469.0,495.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,269.0,300.0
20,495.0,529.0,343.0,176.0,180.0,195.0,294.0,366.0,327.0,234.0,234.0,322.0,290.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,284.0,281.0
21,290.0,495.0,529.0,343.0,176.0,180.0,195.0,294.0,366.0,327.0,234.0,234.0,235.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,281.0,319.0
22,235.0,290.0,495.0,529.0,343.0,176.0,180.0,195.0,294.0,366.0,327.0,234.0,204.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,327.0,342.0
23,204.0,235.0,290.0,495.0,529.0,343.0,176.0,180.0,195.0,294.0,366.0,327.0,339.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,488.0,266.0
24,339.0,204.0,235.0,290.0,495.0,529.0,343.0,176.0,180.0,195.0,294.0,366.0,336.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,437.0,178.0
25,336.0,339.0,204.0,235.0,290.0,495.0,529.0,343.0,176.0,180.0,195.0,294.0,392.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,373.0,128.0
26,392.0,336.0,339.0,204.0,235.0,290.0,495.0,529.0,343.0,176.0,180.0,195.0,367.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,360.0,341.0
27,367.0,392.0,336.0,339.0,204.0,235.0,290.0,495.0,529.0,343.0,176.0,180.0,253.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,304.0,343.0
28,253.0,367.0,392.0,336.0,339.0,204.0,235.0,290.0,495.0,529.0,343.0,176.0,257.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,295.0,352.0
29,257.0,253.0,367.0,392.0,336.0,339.0,204.0,235.0,290.0,495.0,529.0,343.0,310.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,314.0,331.0
30,310.0,257.0,253.0,367.0,392.0,336.0,339.0,204.0,235.0,290.0,495.0,529.0,406.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,297.0,330.0
31,406.0,310.0,257.0,253.0,367.0,392.0,336.0,339.0,204.0,235.0,290.0,495.0,493.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,300.0,329.0
32,493.0,406.0,310.0,257.0,253.0,367.0,392.0,336.0,339.0,204.0,235.0,290.0,230.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,281.0,302.0
33,230.0,493.0,406.0,310.0,257.0,253.0,367.0,392.0,336.0,339.0,204.0,235.0,263.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,319.0,318.0
34,263.0,230.0,493.0,406.0,310.0,257.0,253.0,367.0,392.0,336.0,339.0,204.0,268.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,342.0,359.0
35,268.0,263.0,230.0,493.0,406.0,310.0,257.0,253.0,367.0,392.0,336.0,339.0,136.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,266.0,174.0
36,136.0,268.0,263.0,230.0,493.0,406.0,310.0,257.0,253.0,367.0,392.0,336.0,0.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,178.0,146.0
37,0.0,136.0,268.0,263.0,230.0,493.0,406.0,310.0,257.0,253.0,367.0,392.0,0.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,128.0,123.0
38,0.0,0.0,136.0,268.0,263.0,230.0,493.0,406.0,310.0,257.0,253.0,367.0,1.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,341.0,452.0
39,1.0,0.0,0.0,136.0,268.0,263.0,230.0,493.0,406.0,310.0,257.0,253.0,17.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,343.0,398.0
40,17.0,1.0,0.0,0.0,136.0,268.0,263.0,230.0,493.0,406.0,310.0,257.0,17.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,352.0,399.0
41,17.0,17.0,1.0,0.0,0.0,136.0,268.0,263.0,230.0,493.0,406.0,310.0,3.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0,335.0
42,3.0,17.0,17.0,1.0,0.0,0.0,136.0,268.0,263.0,230.0,493.0,406.0,27.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,330.0,331.0
43,27.0,3.0,17.0,17.0,1.0,0.0,0.0,136.0,268.0,263.0,230.0,493.0,3.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,329.0,338.0
44,3.0,27.0,3.0,17.0,17.0,1.0,0.0,0.0,136.0,268.0,263.0,230.0,5.0,338.0,331.0,335.0,399.0,398.0,452.0,123.0,146.0,174.0,359.0,318.0,302.0,336.0
