,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,0,1,2,3,4,5,6,7,8,9,10,11,12
20,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-519.0,-638.8
21,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-533.0,-529.284
22,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-348.0,-317.0
23,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-335.0,-304.0
24,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-362.0,-308.0
25,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-338.0,-345.0
26,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-648.0,-539.0
27,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-614.0,-723.496
28,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-751.0,-750.7439999999999
29,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-820.0,-745.08
30,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-770.0,-762.672
31,-430.85584343749997,-431.5790726041667,-430.36741927083335,-427.28366927083334,-423.6250859375,-418.5573359375,-414.4644609375,-411.0884609375,-407.5196692708333,-406.39233593750004,-406.4722526041666,-406.89938375,-762.672,-745.08,-750.7439999999999,-723.496,-539.0,-345.0,-308.0,-304.0,-317.0,-529.284,-638.8,-744.0,-711.372
