,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
31,175.0,155.0,137.0,114.0,113.0,105.0,122.0,129.0,111.0,123.0,138.0,187.0,190.0,651.0,545.0,471.0,337.0,331.0,328.0,385.0,385.0,362.0,444.0,428.0,459.0,600.0,103.0,109.0,104.0,112.0,119.0,108.0,136.0,140.0,100.0,101.0,82.0,96.0,109.0
32,190.0,175.0,155.0,137.0,114.0,113.0,105.0,122.0,129.0,111.0,123.0,138.0,143.0,600.0,651.0,545.0,471.0,337.0,331.0,328.0,385.0,385.0,362.0,444.0,428.0,457.0,109.0,103.0,109.0,104.0,112.0,119.0,108.0,136.0,140.0,100.0,101.0,82.0,106.0
33,143.0,190.0,175.0,155.0,137.0,114.0,113.0,105.0,122.0,129.0,111.0,123.0,126.0,457.0,600.0,651.0,545.0,471.0,337.0,331.0,328.0,385.0,385.0,362.0,444.0,421.0,106.0,109.0,103.0,109.0,104.0,112.0,119.0,108.0,136.0,140.0,100.0,101.0,105.0
34,126.0,143.0,190.0,175.0,155.0,137.0,114.0,113.0,105.0,122.0,129.0,111.0,118.0,421.0,457.0,600.0,651.0,545.0,471.0,337.0,331.0,328.0,385.0,385.0,362.0,494.0,105.0,106.0,109.0,103.0,109.0,104.0,112.0,119.0,108.0,136.0,140.0,100.0,97.0
35,118.0,126.0,143.0,190.0,175.0,155.0,137.0,114.0,113.0,105.0,122.0,129.0,129.0,494.0,421.0,457.0,600.0,651.0,545.0,471.0,337.0,331.0,328.0,385.0,385.0,524.0,97.0,105.0,106.0,109.0,103.0,109.0,104.0,112.0,119.0,108.0,136.0,140.0,122.0
36,129.0,118.0,126.0,143.0,190.0,175.0,155.0,137.0,114.0,113.0,105.0,122.0,137.0,524.0,494.0,421.0,457.0,600.0,651.0,545.0,471.0,337.0,331.0,328.0,385.0,378.0,122.0,97.0,105.0,106.0,109.0,103.0,109.0,104.0,112.0,119.0,108.0,136.0,107.0
37,137.0,129.0,118.0,126.0,143.0,190.0,175.0,155.0,137.0,114.0,113.0,105.0,119.0,378.0,524.0,494.0,421.0,457.0,600.0,651.0,545.0,471.0,337.0,331.0,328.0,332.0,107.0,122.0,97.0,105.0,106.0,109.0,103.0,109.0,104.0,112.0,119.0,108.0,101.0
38,119.0,137.0,129.0,118.0,126.0,143.0,190.0,175.0,155.0,137.0,114.0,113.0,107.0,332.0,378.0,524.0,494.0,421.0,457.0,600.0,651.0,545.0,471.0,337.0,331.0,538.0,101.0,107.0,122.0,97.0,105.0,106.0,109.0,103.0,109.0,104.0,112.0,119.0,114.0
39,107.0,119.0,137.0,129.0,118.0,126.0,143.0,190.0,175.0,155.0,137.0,114.0,106.0,538.0,332.0,378.0,524.0,494.0,421.0,457.0,600.0,651.0,545.0,471.0,337.0,384.0,114.0,101.0,107.0,122.0,97.0,105.0,106.0,109.0,103.0,109.0,104.0,112.0,132.0
40,106.0,107.0,119.0,137.0,129.0,118.0,126.0,143.0,190.0,175.0,155.0,137.0,122.0,384.0,538.0,332.0,378.0,524.0,494.0,421.0,457.0,600.0,651.0,545.0,471.0,430.0,132.0,114.0,101.0,107.0,122.0,97.0,105.0,106.0,109.0,103.0,109.0,104.0,140.0
